Average Word Drops,,,,,,,
,English,Ganda,French,Gujarati,Indonesian,Korean,Russian
Clipping,1.363636364,1.127272727,0.8909090909,1.218181818,0.9272727273,1.618181818,1.309090909
Amplitude,0.01818181818,0.09090909091,0.07272727273,0.05454545455,0.01818181818,0.07272727273,0.1272727273
Drop,0.1090909091,0.4,0.2727272727,0.1818181818,0.2181818182,0.5636363636,0.4363636364
Frame,0.1636363636,0.3272727273,0.3090909091,0.2545454545,0.2,0.5090909091,0.3636363636
HP,0.05454545455,0.09090909091,0.03636363636,0.1454545455,0.05454545455,0.3090909091,0.07272727273
LP,0.8909090909,1.218181818,0.6363636364,0.6909090909,0.4727272727,1.2,1.054545455
Noise,0.4363636364,1.163636364,0.5272727273,0.8363636364,0.3272727273,1.272727273,1.090909091
Scale,0.7454545455,0.8545454545,0.4909090909,0.4727272727,0.6363636364,1.436363636,0.5818181818
