Average Word Drops,,,,,,,
,English,Ganda,French,Gujarati,Indonesian,Korean,Russian
Clipping,2.054545455,3.436363636,2.745454545,3.127272727,3.054545455,3.836363636,4.036363636
Amplitude,0,0.05454545455,0.03636363636,0.03636363636,0,0.03636363636,0.07272727273
Drop,0.2909090909,1.654545455,0.4,0.6909090909,0.7272727273,1.527272727,0.8545454545
Frame,0.2727272727,1.181818182,0.7090909091,0.4727272727,0.6545454545,1.509090909,0.7636363636
HP,0.01818181818,0.3090909091,0.2727272727,0.03636363636,0.1454545455,0.4545454545,0.09090909091
LP,3.745454545,4.327272727,4.236363636,3.818181818,3.763636364,3.618181818,4.054545455
Noise,0.4363636364,2.145454545,0.6727272727,1.290909091,0.8545454545,2.127272727,1.545454545
Scale,1.454545455,2.381818182,1.945454545,1.327272727,2.654545455,2.254545455,2.145454545
