Scale,0.9,0.8,0.7,0.6,0.5
,9,10,4,5,4
,7,7,6,4,3
,7,8,8,7,8
,10,9,10,8,10
,10,10,10,8,3
,9,9,8,9,10
,10,9,10,8,9
,7,5,7,6,6
,8,7,9,8,7
,7,8,6,7,6
,10,7,6,6,9
,10,8,8,7,7
,9,9,7,4,3
,8,7,5,9,8
,10,9,10,10,9
,9,7,9,8,8
,7,8,8,7,8
,10,9,10,8,10
,9,9,9,9,9
,9,10,10,10,9
,7,9,7,10,8
,7,5,5,5,5
,9,7,9,10,8
,9,6,4,5,4
,9,10,8,9,8
,7,9,7,6,9
,5,8,6,7,6
,2,3,2,2,1
,7,6,5,6,6
,4,5,6,6,6
,7,9,8,10,8
,7,9,9,9,9
,7,9,7,6,10
,8,5,5,9,7
,8,7,6,6,5
,6,5,6,5,6
,10,8,8,7,8
,9,9,9,10,10
,10,9,10,9,10
,2,2,1,3,2
,9,10,9,10,9
,7,8,7,8,7
,8,2,1,1,1
,8,6,7,7,8
,7,8,9,7,8
,8,7,8,9,9
,9,7,5,8,9
,8,8,9,7,9
,8,6,7,7,5
,9,9,8,9,8
,8,7,8,6,7
,10,10,10,10,10
,6,8,6,7,7
,8,8,8,9,9
,9,5,9,4,9
,10,9,7,6,5
,7,6,7,6,7
,8,6,9,7,9
,9,9,8,9,10
,8,9,8,9,10
,6,6,7,7,7
,7,5,7,7,6
,9,9,8,9,8
,9,8,9,9,8
,8,8,7,5,4
,9,9,10,9,9
,9,7,9,6,9
,9,9,9,9,10
,7,9,9,9,10
,8,3,2,1,1
,10,9,9,9,10
,6,6,7,7,7
,8,9,5,3,2
,6,5,4,3,3
,7,8,8,9,9
,9,8,8,8,9
,6,7,8,4,7
,7,7,7,7,7
,10,10,10,10,10
,5,10,5,9,7
,5,4,6,4,5
,9,8,9,8,9
,10,9,8,6,3
,10,10,10,10,10
,9,9,8,8,8
,8,8,7,8,6
,8,9,8,8,8
,5,7,6,5,7
,7,6,6,8,6
,10,10,10,10,10
,10,10,8,8,9
,6,8,7,8,8
,8,8,9,6,8
,4,7,7,5,6
,9,8,9,9,8
,6,7,6,7,8
,9,8,9,8,8
,7,6,6,6,7
,6,6,7,5,7
,7,9,7,10,9
,8,5,2,2,1
,8,7,9,8,9
,7,7,8,8,8
,8,6,9,8,7
,7,7,7,6,7
,9,8,9,7,8
,10,10,10,10,10
,7,6,5,6,5
,8,8,8,8,7
,9,6,9,8,7
,7,8,7,5,4
,10,9,7,9,10
,7,10,7,9,5
,7,6,7,7,7
,6,9,7,9,6
,10,8,10,9,9
,8,9,7,10,9
,10,10,7,9,10
,7,9,8,9,9
,10,3,2,1,2
,9,8,9,7,5
,7,7,7,7,7
,3,5,3,2,5
,2,1,3,2,2
,3,2,3,5,3
,7,9,7,9,5
,7,7,8,5,3
,7,7,8,9,8
,7,8,8,8,8
,8,8,7,8,8
,10,8,9,6,9
,8,7,9,7,7
,8,7,7,7,8
,9,7,9,9,7
,9,9,7,4,1
,7,9,8,7,9
,4,2,3,1,3
,8,7,5,4,2
,9,9,8,9,7
,8,7,7,9,7
,7,7,6,7,8
,10,8,9,9,9
,9,6,9,6,4
,8,7,9,7,9
,9,9,10,10,9
,9,6,6,9,5
,8,6,7,7,7
,7,5,9,7,10
,4,4,3,3,3
,10,9,8,10,8
,7,9,6,8,7
,7,8,7,6,6
,10,8,8,7,7
,8,9,10,7,9
,8,8,7,6,8
,8,7,7,6,7
,6,1,1,1,1
,9,7,5,3,3
,9,9,10,7,8
,9,5,5,4,1
,5,4,7,6,6
,9,8,10,9,10
,8,6,9,7,6
,10,9,10,8,9
,8,7,8,6,9
,9,7,5,1,1
,9,10,10,10,9
,10,10,10,5,2
,9,10,9,10,10
,10,9,10,9,10
,6,7,7,6,7
,8,6,3,2,1
,10,9,9,9,8
,9,8,6,5,3
,6,6,5,9,7
,9,6,5,4,3
,9,7,10,6,9
,6,7,8,9,8
,8,9,7,9,7
,5,7,6,5,7
,6,8,8,8,7
,7,8,9,9,9
,10,9,7,5,3
,9,2,1,1,1
,8,3,2,1,1
,8,6,8,7,9
,2,8,6,8,6
,8,7,7,9,3
,8,7,9,10,6
,5,7,4,9,3
,9,7,9,6,5
,9,8,8,7,9
,7,6,8,6,7
,6,7,5,8,6
,5,4,3,2,5
,4,3,2,2,1
,7,8,8,10,8
Average,7.781725888,7.335025381,7.203045685,6.939086294,6.776649746
STD,1.769374116,1.942920594,2.15458478,2.359597245,2.585450449
