,please',call',stella',ask',her',to',bring',these',things',with',from',the',store',six',spoons',of',fresh',snow',peas',five',thick',slabs',blue',cheese',and',maybe',a',snack',for',brother',bob',we',also',need',small',plastic',snake',big',toy',frog',kids',she',can',scoop',into',three',red',bags',will',go',meet',wednesday',at',train',station'],
Original,5,4,4,1,12,4,4,6,7,4,4,12,4,4,3,7,3,3,3,3,3,3,4,4,13,4,12,4,8,4,4,8,4,4,4,4,4,4,4,4,4,4,4,3,4,3,3,4,4,4,3,2,3,4,4,
['10',5,4,4,1,12,4,4,6,7,4,4,12,4,4,3,8,3,3,3,4,4,4,4,4,14,4,12,4,8,4,4,8,4,4,4,4,4,4,4,4,4,4,4,3,4,3,3,4,4,4,3,2,3,4,4,
['20',4,4,4,1,11,4,4,6,8,4,4,13,4,4,3,8,3,3,3,4,3,4,4,4,13,4,11,4,8,4,4,8,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,2,3,4,4,
['30',5,4,4,1,12,4,4,6,7,4,4,12,4,4,3,7,3,3,3,2,2,3,4,4,12,4,13,4,8,4,4,8,4,4,4,4,4,4,4,4,4,4,4,3,4,3,3,4,4,4,4,3,4,4,4,
['40',3,3,4,1,10,4,4,5,7,3,4,12,4,4,3,8,3,3,3,3,2,3,4,4,14,4,11,4,8,4,4,7,3,4,4,4,4,5,4,3,4,4,4,4,3,4,4,4,3,4,2,1,2,3,4,
['50',5,4,4,2,11,5,4,6,8,4,4,11,4,4,2,7,3,3,3,3,2,2,3,4,14,4,12,4,7,4,4,8,4,5,4,4,4,4,4,3,4,4,4,3,4,4,3,4,4,3,2,1,3,4,4,
Drops,2,1,0,0,2,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1,1,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0,0.4727272727
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indonesian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Original,4,4,4,4,16,4,4,7,7,5,4,12,4,4,4,8,4,4,4,4,4,4,4,4,12,4,12,4,8,3,3,8,4,4,4,4,4,4,4,4,4,3,4,3,4,4,4,2,4,4,4,4,4,4,4,
['10',4,4,4,4,16,5,4,7,7,4,4,12,4,4,4,8,4,4,4,4,4,4,4,4,12,4,12,4,8,3,3,8,4,4,4,4,4,4,4,4,4,2,4,2,3,4,3,2,4,4,4,4,4,4,4,
['20',4,4,4,4,16,5,4,6,7,4,4,11,4,4,4,8,4,4,4,4,4,4,4,4,12,4,12,4,8,3,3,8,4,4,4,4,4,4,4,4,3,2,2,1,3,4,3,2,4,4,4,4,4,4,4,
['30',4,4,4,4,16,5,4,8,8,4,4,11,4,4,4,9,4,4,4,4,4,4,4,4,12,4,11,3,8,3,3,8,4,4,4,4,4,4,3,3,3,2,2,2,3,4,3,2,4,4,4,4,4,4,4,
['40',4,4,3,3,15,4,3,5,6,4,4,12,4,4,4,8,4,4,4,4,4,4,4,4,11,4,11,4,8,3,3,7,4,4,4,4,4,4,4,4,4,2,3,1,2,3,2,1,3,4,4,4,4,4,4,
['50',3,3,3,4,16,6,4,8,7,4,4,13,3,4,3,8,4,4,4,4,3,3,4,4,12,4,12,4,8,2,2,7,4,4,4,4,4,4,4,4,4,2,3,3,4,4,4,2,4,4,4,4,4,4,4,
Drops,1,1,1,1,1,0,1,2,1,1,0,1,1,0,1,0,0,0,0,0,1,1,0,0,1,0,1,1,0,1,1,1,0,0,0,0,0,0,1,1,1,1,2,2,2,1,2,1,1,0,0,0,0,0,0,0.6545454545
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Korean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Original,4,4,4,3,11,5,4,7,7,5,4,14,4,4,2,6,3,3,3,3,1,1,3,2,11,4,14,4,7,4,4,6,4,4,4,4,4,4,4,3,1,2,2,0,3,3,3,2,2,3,4,4,4,4,4,
['10',4,5,4,3,9,5,4,7,6,5,4,13,4,5,2,6,3,3,3,3,1,1,3,2,11,4,14,4,7,4,4,5,3,4,4,4,3,2,3,2,1,2,3,0,3,3,2,3,3,2,4,4,4,4,4,
['20',4,6,4,3,10,4,4,7,6,3,4,14,4,4,2,7,3,3,3,2,1,1,2,1,12,4,13,4,7,4,4,5,3,3,3,3,3,3,3,3,2,1,2,0,3,3,3,2,4,3,4,4,4,4,4,
['30',3,4,3,2,10,3,2,6,5,4,4,15,4,3,2,6,2,2,2,3,2,2,3,2,13,3,13,4,7,4,4,6,3,3,3,4,4,3,3,3,1,2,3,0,3,3,3,2,2,3,3,2,3,2,3,
['40',2,3,4,0,9,6,3,2,5,4,4,12,4,4,1,5,1,1,1,3,1,1,3,2,9,3,8,3,6,4,3,6,1,1,3,3,3,2,2,3,2,1,0,0,3,2,1,1,3,2,3,3,4,4,4,
['50',4,4,4,1,6,7,3,5,5,2,3,20,4,4,1,5,1,1,1,3,1,1,3,3,9,3,10,4,8,4,4,5,3,3,3,3,3,2,2,2,1,1,0,0,3,2,2,2,3,2,4,4,4,4,4,
Drops,2,1,1,3,5,2,2,5,2,3,1,2,0,1,1,1,2,2,2,1,0,0,1,1,2,1,6,1,1,0,1,1,3,3,1,1,1,2,2,1,0,1,2,0,0,1,2,1,0,1,1,2,1,2,1,1.509090909
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Russian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Original,4,4,4,2,13,4,4,6,7,4,4,15,4,5,4,7,4,4,3,4,1,3,4,4,12,4,10,4,7,4,3,8,4,4,4,4,4,5,3,3,3,4,4,3,3,3,2,2,4,4,4,4,4,4,4,
['10',4,4,4,2,13,4,4,7,7,5,4,16,4,4,4,7,4,4,4,4,2,2,3,4,11,4,10,4,7,4,3,8,4,4,4,4,4,4,3,3,3,3,3,3,2,3,2,2,4,4,4,4,4,4,4,
['20',4,4,4,2,13,5,4,7,6,5,4,17,4,5,4,7,4,4,4,2,1,1,4,4,11,4,10,4,7,4,3,8,4,4,4,4,4,4,2,2,3,3,2,1,3,3,2,2,4,4,4,4,4,4,4,
['30',4,4,4,2,13,4,4,4,5,4,4,14,4,5,2,4,3,3,2,3,1,2,4,4,12,4,10,4,7,4,3,8,4,4,4,4,4,4,3,3,3,4,4,2,2,2,1,1,4,4,4,4,4,4,4,
['40',4,4,4,2,12,3,3,5,6,4,4,17,4,5,4,7,4,4,3,3,0,2,4,4,12,4,10,4,7,4,4,8,4,4,4,4,4,4,3,3,3,4,4,2,1,2,2,2,4,4,4,4,4,4,4,
['50',4,4,4,3,12,4,3,5,6,3,4,16,4,5,3,6,3,3,3,2,0,1,2,4,11,4,10,4,7,4,4,8,4,4,4,4,4,3,3,3,3,3,3,3,2,3,2,2,4,4,4,4,4,3,3,
Drops,0,0,0,0,1,1,1,2,2,1,0,1,0,1,2,3,1,1,1,2,1,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,1,2,2,2,1,1,1,0,0,0,0,0,1,1,0.7636363636
