,please',call',stella',ask',her',to',bring',these',things',with',from',the',store',six',spoons',of',fresh',snow',peas',five',thick',slabs',blue',cheese',and',maybe',a',snack',for',brother',bob',we',also',need',small',plastic',snake',big',toy',frog',kids',she',can',scoop',into',three',red',bags',will',go',meet',wednesday',at',train',station'],
Original,5,4,4,1,12,4,4,6,7,4,4,12,4,4,3,7,3,3,3,3,3,3,4,4,13,4,12,4,8,4,4,8,4,4,4,4,4,4,4,4,4,4,4,3,4,3,3,4,4,4,3,2,3,4,4,
['900',2,2,1,1,12,4,4,2,3,3,4,12,4,3,0,3,2,2,2,3,2,1,1,1,13,4,12,4,9,4,4,7,3,3,3,3,3,4,4,3,3,0,2,0,3,3,1,2,3,5,4,1,1,2,2,
['800',0,1,0,1,10,4,3,1,1,1,4,12,3,1,0,2,0,0,0,3,0,1,1,1,10,3,10,3,8,4,4,6,3,3,3,3,2,4,3,3,3,0,1,0,0,2,1,2,3,5,3,0,0,0,0,
['700',0,0,0,0,8,2,2,0,0,1,3,13,1,0,0,1,0,0,0,3,0,0,1,0,6,1,4,1,8,4,5,3,1,1,2,2,0,4,1,1,0,0,0,0,0,1,2,2,3,3,2,0,2,0,0,
['600',0,1,0,0,5,1,1,0,0,0,3,12,1,0,0,3,0,0,0,3,0,0,1,0,3,0,4,0,7,3,5,3,1,0,1,0,0,2,1,1,0,0,0,0,0,0,0,0,2,2,0,0,1,0,0,
['500',0,0,0,0,3,0,0,0,0,0,3,12,0,0,0,3,0,0,0,2,0,0,1,0,0,0,2,0,5,3,10,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,
Drops,5,4,4,1,9,4,4,6,7,4,1,0,4,4,3,6,3,3,3,1,3,3,3,4,13,4,10,4,3,1,0,6,3,4,3,4,4,4,4,4,4,4,4,3,4,3,3,4,2,3,3,2,3,4,4,3.818181818
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indonesian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Original,4,4,4,4,16,4,4,7,7,5,4,12,4,4,4,8,4,4,4,4,4,4,4,4,12,4,12,4,8,3,3,8,4,4,4,4,4,4,4,4,4,3,4,3,4,4,4,2,4,4,4,4,4,4,4,
['900',0,1,0,1,13,5,4,4,5,4,4,15,2,2,1,7,2,2,2,4,2,2,3,3,11,3,11,3,7,3,3,8,3,3,3,4,4,5,2,1,2,0,1,0,1,2,2,2,4,4,4,4,5,2,2,
['800',0,0,0,1,14,3,3,2,3,3,3,13,2,2,2,7,2,2,2,4,2,2,2,2,11,3,11,3,7,3,3,7,3,3,3,3,3,4,2,1,2,0,1,0,1,2,2,2,3,4,4,4,6,2,2,
['700',0,0,0,1,10,2,2,2,2,3,3,12,1,1,0,5,1,1,1,3,1,1,2,2,9,3,9,3,7,4,4,6,1,1,1,1,1,3,2,1,1,0,1,0,1,2,2,2,3,3,3,3,3,2,2,
['600',0,0,0,0,8,1,1,2,2,3,2,9,1,2,0,7,0,0,0,3,0,0,0,0,5,2,5,1,8,4,4,5,1,1,1,1,1,2,1,1,0,0,0,0,1,1,1,1,4,3,2,2,2,1,1,
['500',0,0,0,0,4,0,0,1,1,3,1,5,0,1,0,9,0,0,0,4,0,0,0,0,3,0,4,0,3,2,2,4,1,1,1,1,1,3,1,1,0,0,0,0,1,2,1,1,3,1,1,1,1,0,0,
Drops,4,4,4,4,12,4,4,6,6,2,3,7,4,3,4,3,4,4,4,1,4,4,4,4,9,4,8,4,5,1,1,4,3,3,3,3,3,2,3,3,4,3,4,3,3,3,3,1,1,3,3,3,3,4,4,3.763636364
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Korean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Original,4,4,4,3,11,5,4,7,7,5,4,14,4,4,2,6,3,3,3,3,1,1,3,2,11,4,14,4,7,4,4,6,4,4,4,4,4,4,4,3,1,2,2,0,3,3,3,2,2,3,4,4,4,4,4,
['900',0,1,0,0,4,5,2,1,2,1,1,8,1,2,0,3,0,0,0,1,0,0,1,1,7,2,4,2,6,4,4,3,0,0,1,1,0,1,1,1,1,0,1,0,3,4,2,2,2,1,2,2,3,3,3,
['800',0,1,0,0,3,3,1,0,0,1,1,9,0,1,0,2,0,0,0,1,0,0,0,0,7,1,5,1,11,4,4,3,0,0,1,1,0,1,1,1,1,0,1,0,1,2,0,0,2,2,2,2,4,3,3,
['700',0,0,0,0,3,2,1,0,0,1,2,9,0,0,0,3,0,0,0,1,0,0,0,0,4,1,2,1,6,3,3,2,0,0,2,0,0,1,0,0,0,0,0,0,0,2,0,0,1,1,1,1,1,1,1,
['600',0,0,0,0,4,1,1,1,0,1,1,8,0,0,0,2,0,0,0,0,0,0,0,0,3,1,1,1,4,3,3,2,0,0,3,0,0,1,0,0,0,0,0,0,0,2,0,0,2,1,1,1,1,1,1,
['500',0,0,0,0,2,0,1,0,0,2,2,10,0,0,0,1,0,0,0,0,0,0,0,0,2,1,1,1,3,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,
Drops,4,4,4,3,9,5,3,7,7,4,3,6,4,4,2,5,3,3,3,3,1,1,3,2,9,3,13,3,4,3,3,4,4,4,4,4,4,4,4,3,1,2,2,0,3,2,3,2,1,2,3,3,3,3,3,3.618181818
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Russian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Original,4,4,4,2,13,4,4,6,7,4,4,15,4,5,4,7,4,4,3,4,1,3,4,4,12,4,10,4,7,4,3,8,4,4,4,4,4,5,3,3,3,4,4,3,3,3,2,2,4,4,4,4,4,4,4,
['900',2,1,0,0,5,1,2,0,0,1,3,17,2,0,0,3,1,0,0,2,0,0,0,0,3,1,3,0,7,4,3,5,0,0,1,2,1,1,1,1,1,1,0,0,0,3,1,1,6,2,2,0,1,0,0,
['800',1,2,0,0,3,1,2,0,0,1,2,17,1,0,0,3,1,0,0,2,0,0,0,0,3,1,3,0,7,5,4,4,0,0,1,1,1,1,1,1,0,0,0,0,0,2,1,0,6,2,1,0,1,0,0,
['700',0,1,0,0,3,0,0,0,0,2,2,14,0,0,0,2,0,0,0,1,0,0,0,0,0,0,2,0,6,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,1,0,1,0,0,
['600',0,1,0,0,2,1,0,0,0,1,2,13,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,6,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,
['500',0,1,0,0,1,1,0,0,0,1,1,11,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,6,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
Drops,4,3,4,2,12,4,4,6,7,3,3,4,4,5,4,6,4,4,3,3,1,3,4,4,12,4,9,4,1,2,0,8,4,4,4,4,4,5,3,3,3,4,4,3,3,3,2,2,3,4,4,4,4,4,4,4.054545455
