Amplitude,2,0.5,0.4,0.3,0.2,0.1
,9,6,5,3,3,3
,10,9,8,7,7,6
,7,9,8,8,8,7
,10,8,10,10,9,10
,9,10,8,8,7,6
,7,9,8,8,8,9
,10,7,6,6,9,4
,6,7,7,7,7,5
,8,9,7,9,8,9
,7,8,6,7,6,8
,9,6,7,9,5,4
,10,8,7,9,9,8
,9,8,9,7,9,8
,8,6,9,8,8,8
,10,10,9,9,10,10
,8,4,7,7,9,6
,8,8,7,9,7,9
,10,9,10,10,9,10
,8,9,10,8,10,8
,9,10,10,10,9,10
,9,8,7,9,8,9
,9,7,8,10,9,9
,2,5,4,3,2,1
,10,9,10,9,9,9
,9,9,8,10,8,9
,9,7,5,7,8,8
,9,7,8,7,8,6
,9,4,4,5,6,4
,9,9,7,8,7,7
,6,7,7,7,7,7
,8,9,7,9,7,7
,9,10,9,9,8,10
,6,9,7,9,10,9
,8,10,8,10,10,5
,8,8,8,9,8,7
,6,7,7,7,6,5
,10,8,9,8,7,9
,6,8,9,9,9,10
,10,8,10,9,7,10
,3,2,3,3,3,2
,10,10,10,10,9,9
,8,7,7,8,6,6
,8,9,7,5,8,4
,8,7,7,8,8,8
,9,7,8,9,7,9
,9,7,9,8,6,7
,9,9,7,8,10,9
,9,7,8,7,8,7
,7,6,6,7,7,7
,10,9,10,9,10,9
,6,8,7,4,7,7
,7,7,7,8,7,8
,6,8,6,8,6,7
,7,10,9,9,9,8
,8,9,4,9,8,9
,8,8,8,8,8,8
,7,7,7,6,6,7
,7,7,7,6,9,7
,10,9,10,8,9,9
,9,9,8,8,8,9
,5,7,4,8,9,4
,7,8,6,8,7,7
,9,8,9,8,9,8
,10,10,8,9,9,8
,9,10,9,8,7,8
,10,9,10,9,9,9
,7,8,6,9,6,9
,10,10,9,9,9,9
,9,9,8,8,8,8
,8,4,3,4,3,2
,9,9,10,9,10,9
,8,6,8,7,7,7
,10,9,9,9,10,9
,10,9,8,9,10,9
,9,8,9,9,9,8
,8,9,6,7,8,7
,9,10,9,10,9,9
,8,6,7,8,8,8
,9,10,10,9,9,9
,10,7,10,3,3,9
,5,3,5,5,4,7
,9,9,8,9,8,8
,9,9,9,10,10,10
,9,8,8,10,10,9
,10,10,10,9,9,8
,8,7,10,8,8,7
,7,8,9,7,9,8
,5,6,6,8,7,6
,5,6,5,8,7,6
,9,9,9,10,9,9
,10,10,10,10,9,9
,8,6,6,7,7,7
,7,7,8,8,8,8
,7,6,8,7,8,8
,9,9,7,8,7,8
,8,7,6,7,6,9
,9,9,9,9,8,9
,7,7,6,7,7,6
,8,6,8,10,5,8
,7,9,6,9,7,9
,3,5,4,3,1,1
,9,8,9,9,8,5
,9,8,7,6,6,6
,7,7,7,7,7,7
,7,8,7,7,6,7
,8,8,9,7,9,7
,10,10,10,10,10,10
,7,7,6,8,6,6
,8,8,8,8,8,6
,10,2,3,5,9,10
,8,6,8,7,8,7
,10,10,10,10,10,7
,8,8,9,9,8,9
,8,7,4,3,3,5
,7,8,7,6,8,9
,9,8,7,10,8,10
,7,9,9,9,8,9
,9,8,9,9,10,7
,7,7,7,6,6,7
,7,9,4,9,10,8
,10,9,9,8,9,8
,5,6,4,4,5,6
,9,7,6,8,7,6
,8,8,7,7,6,5
,9,7,7,6,4,3
,8,7,9,7,9,5
,4,7,6,4,6,7
,9,9,9,10,9,8
,8,7,7,7,8,6
,7,8,8,8,8,8
,9,6,9,6,9,8
,9,7,9,7,8,7
,7,7,8,9,7,8
,9,8,7,6,6,7
,10,8,7,8,6,6
,9,7,9,9,9,9
,9,9,8,8,5,5
,9,10,10,9,8,8
,7,5,5,6,7,8
,7,8,5,6,10,4
,8,7,6,6,7,6
,10,10,9,9,9,9
,9,6,5,4,3,2
,8,7,6,8,8,8
,8,10,9,10,8,9
,7,3,2,3,3,3
,7,5,8,7,7,8
,7,6,7,5,7,6
,5,5,8,7,5,4
,8,8,7,9,7,9
,8,8,7,8,7,7
,6,7,7,6,8,6
,8,7,7,6,7,6
,9,8,8,8,7,10
,7,6,8,8,8,9
,7,6,7,6,6,5
,6,8,9,7,6,2
,8,7,9,7,6,5
,9,6,5,4,3,2
,8,9,9,9,8,5
,5,7,7,6,5,7
,7,9,10,9,10,9
,8,7,9,6,9,7
,10,10,10,9,10,9
,5,9,7,8,7,9
,9,9,9,9,8,7
,9,10,9,10,9,10
,10,10,10,10,10,9
,9,10,9,10,9,10
,7,9,7,10,9,10
,5,7,7,6,8,6
,9,6,5,4,3,2
,10,10,10,10,10,10
,9,10,8,9,9,8
,9,8,7,6,7,8
,9,10,8,9,10,8
,6,3,10,6,8,10
,4,6,6,5,7,6
,9,6,10,7,10,7
,6,6,7,5,8,6
,9,7,8,8,7,7
,7,7,6,6,7,6
,8,9,6,9,7,5
,8,7,6,7,8,4
,9,9,9,8,9,9
,7,5,8,6,9,5
,3,2,4,4,8,8
,9,9,9,8,8,8
,8,7,6,8,5,6
,9,3,2,8,5,2
,9,6,5,4,3,2
,10,10,9,10,10,9
,6,7,6,7,6,9
,8,8,7,6,7,7
,9,4,3,2,3,2
,6,7,6,4,4,5
,8,7,9,7,8,7
Average,8.020304569,7.634517766,7.492385787,7.558375635,7.497461929,7.182741117
STD,1.584231581,1.740404127,1.805940564,1.841387399,1.872530661,2.101288866
