Drop,5,10,15,20,25
,9,8,9,6,9
,8,7,6,6,5
,7,9,8,8,9
,9,10,10,10,8
,8,7,7,6,5
,9,9,8,10,10
,8,7,9,6,10
,6,5,1,1,1
,8,9,8,10,9
,5,7,6,7,8
,9,8,9,6,7
,8,10,8,8,8
,6,5,4,5,3
,9,7,9,8,7
,10,10,9,9,10
,10,9,9,8,9
,8,7,9,8,8
,10,9,10,10,10
,9,9,9,10,9
,9,10,9,10,9
,9,9,8,10,9
,8,8,8,6,8
,8,9,7,10,9
,9,10,9,10,9
,9,9,8,9,8
,9,9,8,8,8
,8,7,8,10,7
,7,8,7,9,9
,7,8,6,6,6
,5,8,8,7,7
,9,7,9,7,9
,10,9,9,9,9
,7,9,8,6,10
,10,8,7,6,3
,9,9,9,8,8
,6,6,6,6,6
,10,8,7,9,8
,9,9,10,7,8
,8,10,9,10,8
,3,2,1,3,3
,10,9,10,10,9
,7,6,8,7,8
,6,4,3,2,2
,7,7,8,8,7
,7,8,9,8,7
,9,9,9,7,7
,10,9,8,9,8
,8,7,7,8,7
,5,7,6,8,6
,8,8,8,7,9
,8,8,6,9,7
,9,9,10,7,10
,6,7,5,6,6
,8,8,9,9,9
,10,6,9,9,7
,6,6,6,6,6
,7,6,8,7,6
,8,7,9,7,8
,9,9,10,9,8
,7,9,9,9,10
,6,7,4,7,8
,7,7,7,6,5
,9,8,9,8,9
,8,10,8,9,7
,9,7,7,5,4
,9,9,9,9,9
,10,6,8,7,9
,9,10,9,10,9
,9,9,9,9,10
,9,7,3,5,6
,10,9,9,8,9
,7,7,7,7,7
,10,7,3,6,4
,6,5,6,5,6
,9,8,9,9,8
,8,7,5,9,8
,8,9,6,9,7
,7,7,6,8,7
,9,10,10,8,9
,8,2,9,7,6
,5,4,4,4,6
,9,7,9,8,9
,10,8,6,6,4
,10,9,9,9,10
,10,9,9,9,10
,9,7,9,9,7
,7,9,8,9,7
,5,6,5,6,6
,5,5,6,5,7
,10,10,10,10,10
,10,10,10,10,10
,7,8,8,6,8
,8,9,7,8,8
,7,4,8,4,8
,9,8,9,8,8
,8,5,6,7,8
,8,9,8,9,8
,7,7,6,6,5
,7,6,7,5,7
,8,7,9,7,5
,8,10,7,6,9
,8,7,9,9,5
,7,8,8,7,7
,7,7,6,8,8
,7,8,7,7,7
,9,8,9,8,9
,10,10,10,10,10
,6,7,7,6,7
,8,8,8,9,7
,8,5,9,6,4
,8,8,8,7,6
,8,10,10,9,9
,9,7,8,10,5
,8,7,7,6,5
,6,8,7,8,7
,10,10,9,8,7
,7,9,8,9,8
,8,8,10,10,6
,7,7,8,7,6
,7,6,6,6,5
,10,9,8,8,7
,7,6,6,6,6
,8,6,5,8,6
,7,5,4,3,2
,7,5,4,4,3
,9,8,9,7,9
,6,7,7,7,7
,7,8,9,7,8
,8,8,8,7,7
,7,8,9,9,7
,10,8,9,7,9
,9,8,7,9,9
,8,6,9,8,7
,8,7,8,9,8
,8,7,6,5,5
,8,8,9,9,9
,7,3,2,2,4
,4,5,6,4,5
,4,7,7,8,6
,7,9,8,5,9
,7,6,8,6,8
,10,10,10,9,9
,9,8,8,7,9
,9,8,9,8,9
,9,10,8,10,9
,9,6,5,3,7
,6,3,10,2,8
,6,7,8,8,7
,5,4,4,4,4
,9,8,7,8,7
,7,6,9,7,5
,7,8,8,7,7
,8,7,7,6,7
,9,7,10,7,9
,7,6,8,7,9
,6,5,8,7,7
,8,8,6,6,6
,9,7,6,6,6
,9,4,3,3,2
,9,8,6,5,4
,6,6,5,7,5
,10,6,8,7,9
,7,6,8,6,9
,10,10,10,10,9
,8,8,6,8,8
,9,8,7,7,7
,9,10,9,10,10
,8,8,7,5,3
,10,9,10,9,10
,8,9,8,9,8
,8,6,6,7,7
,7,5,3,2,2
,10,10,9,10,9
,8,8,7,4,3
,8,7,6,5,6
,7,9,7,7,6
,10,3,8,8,10
,7,7,7,5,5
,8,7,9,7,9
,5,6,6,6,8
,9,6,7,6,6
,8,8,9,8,7
,9,9,7,7,8
,3,6,6,4,2
,10,9,6,6,4
,9,7,5,9,5
,4,4,4,6,1
,9,7,9,9,7
,8,5,8,6,6
,5,4,9,8,5
,9,8,3,3,2
,8,10,9,10,9
,6,8,7,8,6
,7,7,8,6,8
,8,4,4,4,4
,6,4,4,5,3
,7,7,7,9,7
Average,7.903553299,7.431472081,7.456852792,7.223350254,7.07106599
STD,1.507070941,1.741341368,1.882902732,1.956377051,2.081263691
