,please',call',stella',ask',her',to',bring',these',things',with',from',the',store',six',spoons',of',fresh',snow',peas',five',thick',slabs',blue',cheese',and',maybe',a',snack',for',brother',bob',we',also',need',small',plastic',snake',big',toy',frog',kids',she',can',scoop',into',three',red',bags',will',go',meet',wednesday',at',train',station'],
Original,5,4,4,1,12,4,4,6,7,4,4,12,4,4,3,7,3,3,3,3,3,3,4,4,13,4,12,4,8,4,4,8,4,4,4,4,4,4,4,4,4,4,4,3,4,3,3,4,4,4,3,2,3,4,4,
['0.9',5,4,4,1,12,4,4,6,7,4,4,12,4,4,3,7,3,3,3,3,2,3,4,4,13,4,12,4,8,4,4,8,4,4,4,4,4,4,4,4,4,4,4,3,4,3,3,4,4,4,3,2,3,4,4,
['0.8',4,4,4,0,11,4,4,6,8,4,4,12,4,4,3,7,4,4,4,3,3,3,4,4,13,4,13,4,9,4,4,8,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,3,4,4,3,2,3,3,3,
['0.7',3,2,2,0,8,5,4,4,3,2,4,10,4,4,2,6,3,3,3,3,2,2,4,3,5,2,9,2,11,3,2,6,4,4,4,4,4,2,2,3,2,4,3,2,2,2,2,1,2,3,2,1,1,2,2,
['0.6',1,0,0,0,1,6,0,0,0,0,1,5,2,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,15,0,0,0,0,0,2,0,0,0,0,0,0,5,0,0,0,1,0,0,1,0,0,0,0,0,0,
['0.5',0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,
Drops,2,2,2,1,4,0,0,2,4,2,0,2,0,0,1,1,0,0,0,0,1,1,0,1,8,2,3,2,0,1,2,2,0,0,0,0,0,2,2,1,2,0,1,1,2,1,1,3,2,1,1,1,2,2,2,1.327272727
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indonesian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Original,4,4,4,4,16,4,4,7,7,5,4,12,4,4,4,8,4,4,4,4,4,4,4,4,12,4,12,4,8,3,3,8,4,4,4,4,4,4,4,4,4,3,4,3,4,4,4,2,4,4,4,4,4,4,4,
